,Country,Year,Month,Semana,Nombre de la campaña,Campaign Consolidated,Impresiones,impresiones max,impresiones min,impresiones avg,Importe gastado,importe max,importe min,importe avg,Fecha inicio,sem_inicio,abreviatura,Marca,Pais,num_campaign,campaign avg,venta_agrupada,venta max,venta min,venta avg,tipo,score_lineal_norm
237,BR,2022,12,2022-12-17 - 2022-12-23,BD_BR_ECOM_NAVIDAD_NOV22_LOC,Navidad,2240650.0,2240650.0,3.0,632026.2,1467.09,1467.09,0.01,391.688,2022-12-17,202250,BD,BLACK+DECKER,Brasil,5,1.0,480176.1753047357,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.6090643136425933
238,MX,2022,12,2022-12-03 - 2022-12-09,BD_MX_ECOM_NOV22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,5944656.0,5944656.0,1196791.0,2865400.3333333335,3301.17,3301.17,805.74,1654.4833333333333,2022-12-03,202248,BD,BLACK+DECKER,Mexico,3,5.111111111111111,372288.0225075342,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.249459082505121
239,BR,2022,12,2022-12-03 - 2022-12-09,DW_BR_CONV_GrowTheCore-2,Grow The Core,5845282.0,5845282.0,61825.0,2071518.2,2596.33,3708.94,52.31,1510.5520000000001,2022-12-03,202248,DW,DEWALT,Brasil,5,3.7142857142857144,759039.0634832218,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.3357116301104428
240,MX,2022,12,2022-12-03 - 2022-12-09,DW_MX_AWR_NOV22_CONCURSO-CORDLESS_LOC,Cordless DW,7694805.0,7694805.0,292044.0,2882437.3333333335,2287.15,2287.15,460.39,1233.53,2022-12-03,202248,DW,DEWALT,Mexico,3,5.111111111111111,1248042.0533950268,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.3698371259487692
241,BR,2022,12,2022-12-03 - 2022-12-09,IW_BR_ECOM_OCT22_Trade-strong_LOCAL,Trade Strong,2197483.0,2197483.0,1028943.0,1613213.0,1669.13,1669.13,187.99,928.5600000000001,2022-12-03,202248,IW,IRWIN,Brasil,2,3.7142857142857144,36561.80569439798,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.6118376618407357
242,BR,2022,12,2022-12-03 - 2022-12-09,ST_BR_ECOM_SUPPORT_OCT22_PT_LOCAL,Ecom,6871217.0,6871217.0,101831.0,2773602.5,2743.35,2743.35,40.810022,1148.8775062425,2022-12-03,202248,ST,STANLEY,Brasil,4,3.7142857142857144,390295.2598474494,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.2934938268159164
243,BR,2023,1,2023-01-14 - 2023-01-20,BD_BR_AWR_ENE23_PROTECT-THE-CORE_REG,Protect The Core,7032986.0,7032986.0,423920.0,2630900.8,2883.81999997,4436.65,204.54,1645.03145576,2023-01-14,202302,BD,BLACK+DECKER,Brasil,5,4.529411764705882,733795.4029584802,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.2658953345922606
244,MX,2023,1,2023-01-07 - 2023-01-13,BD_MX_AWR_ENE23_PROTECT-THE-CORE_REG,Protect The Core,8512927.0,8512927.0,3626482.0,6069704.5,3319.95,3319.95,2137.52000014,2728.73500007,2023-01-07,202301,BD,BLACK+DECKER,Mexico,2,3.0,1516953.8762652809,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.9371067811865477
245,BR,2023,1,2023-01-14 - 2023-01-20,DW_BR_AWR_ENE23_BATTERY-SEEDING_REG,Battery Seeding,5676766.0,5676766.0,19733.0,2070234.4,3178.8,3178.8,10.96,1328.732064492,2023-01-14,202302,DW,DEWALT,Brasil,5,4.529411764705882,1369078.7432086198,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.4840237563630758
246,MX,2023,1,2023-01-21 - 2023-01-27,DW_MX_ECOM_ENE23_PROTECT-THE-CORE_LOC,Protect The Core,1046331.0,1046331.0,1046331.0,1046331.0,387.44,387.44,387.44,387.44,2023-01-21,202303,DW,DEWALT,Mexico,1,3.0,5372865.2812960865,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,
247,BR,2023,1,2023-01-14 - 2023-01-20,IW_BR_AWR_JAN23_HT_Social-Boosting,Social Boosting,916265.0,916265.0,916265.0,916265.0,154.65,154.65,154.65,154.65,2023-01-14,202302,IW,IRWIN,Brasil,1,5.380952380952381,71323.98741210102,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,
248,BR,2023,1,2023-01-21 - 2023-01-27,ST_BR_AWR_ENE23_V20_REG,v20,7971328.0,7971328.0,1137275.0,3154073.2,3188.17999975,3188.17999975,643.22,1472.1499956,2023-01-21,202303,ST,STANLEY,Brasil,5,5.380952380952381,644411.9539070039,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.6534252775917833
249,MX,2023,1,2023-01-21 - 2023-01-27,ST_MX_AWR_ENE23_V20_REG,v20,7018425.0,7018425.0,713581.0,3076508.3333333335,2386.14996115,2386.14996115,305.55,1407.6266537166666,2023-01-21,202303,ST,STANLEY,Mexico,3,3.0,1289314.11021655,7392.345649244792,0.0,74.8296203406812,top_men,1.202703657444346
250,BR,2023,2,2023-02-11 - 2023-02-17,BD_BR_AWR_FEB23_PROTECT-THE-CORE_REG,Protect The Core,13130086.0,13130086.0,414056.0,4988575.25,6039.62,6039.62,349.49,2812.3325,2023-02-11,202306,BD,BLACK+DECKER,Brasil,4,4.294117647058823,728934.6346866933,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.3660457987335097
251,MX,2023,2,2023-02-18 - 2023-02-24,BD_MX_ECOM_FEB23_PROTECT-THE-CORE_REG,Protect The Core,3007114.0,3007114.0,626146.0,1517959.75,1777.68,1777.68,247.86,938.0175,2023-02-18,202307,BD,BLACK+DECKER,Mexico,4,3.0,1601005.2621600365,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.2513082900933064
252,BR,2023,2,2023-02-18 - 2023-02-24,DW_BR_AWR_FEB23_PT_Social-Boosting,Social Boosting,2783288.0,2783288.0,268659.0,1348890.0,897.45,1777.34,204.2,849.5283333333333,2023-02-18,202307,DW,DEWALT,Brasil,6,4.894736842105263,1328879.5847788183,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.3092453164882507
253,MX,2023,2,2023-02-11 - 2023-02-17,DW_MX_ENGT_FEB23_BATTERY-SEEDING_REG,Battery Seeding,4632179.0,4632179.0,938.0,1710204.75,4191.27,4191.27,0.36,1160.23,2023-02-11,202306,DW,DEWALT,Mexico,4,6.583333333333333,4908179.566547562,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.1597007367998347
254,BR,2023,2,2023-02-25 - 2023-03-03,IW_BR_AWR_FEB23_HT_Social-Boosting,Social Boosting,883461.0,883461.0,553808.0,718634.5,190.76,190.76,95.69,143.225,2023-02-25,202308,IW,IRWIN,Brasil,2,3.933333333333333,67638.63055311078,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.6118376618407357
